Entry	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD0155CE6	Gene ontology IDs	Gene names
P53224	852926	GO:0005783; GO:0006672; GO:0006986; GO:0016021; GO:0035339; GO:0090155; GO:0090156; GO:1900060	ORM1 YGR038W
P53920	855600	GO:0004252; GO:0005634; GO:0006915; GO:0008236; GO:0030163; GO:0034605; GO:0044255; GO:0051438; GO:0120174	NMA111 YNM3 YNL123W N1897
P48562	855418	GO:0000011; GO:0000324; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005933; GO:0006468; GO:0007096; GO:0010629; GO:0016301; GO:0019236; GO:0023014; GO:0031098; GO:0031106; GO:0032147; GO:0035376; GO:0042307; GO:0043408; GO:0048365; GO:1990872	CLA4 YNL298W N0450
Q06188	851177	GO:0003682; GO:0005634; GO:0005829; GO:0032968; GO:0033100; GO:1990468	YLR455W
P13856	853056	GO:0000755; GO:0003924; GO:0005525; GO:0005622; GO:0005886; GO:0005935; GO:0007120; GO:0007121; GO:0007264; GO:0032507	RSR1 BUD1 YGR152C G6658
Q99332	854503	GO:0005783; GO:0005789; GO:0016021; GO:0071469; GO:0071472	FRT1 HPH1 YOR324C O6159
P14127	852058	GO:0000028; GO:0002181; GO:0003735; GO:0022627	RPS17B RP51B YDR447C
O94244	2539214	GO:0000070; GO:0000775; GO:0000778; GO:0005634; GO:0005737; GO:0051382; GO:0061641; GO:0098654	mis16 hat2 SPCC1672.10
P49018	851931	GO:0003923; GO:0005789; GO:0008234; GO:0016255; GO:0030176; GO:0042765	GPI8 YDR331W D9798.2
P38088	852418	GO:0004820; GO:0005524; GO:0005737; GO:0005739; GO:0005759; GO:0006353; GO:0006426; GO:0015966; GO:0046983; GO:0070150	GRS1 YBR121C YBR0917
Q96PU4	115426	GO:0003677; GO:0004842; GO:0005634; GO:0005654; GO:0005720; GO:0007049; GO:0008283; GO:0010216; GO:0016567; GO:0019789; GO:0030154; GO:0042393; GO:0046872; GO:0051726; GO:0051865; GO:0061630; GO:0071158	UHRF2 NIRF RNF107
Q8TBQ9	153339	GO:0000139; GO:0009306; GO:0016021; GO:0046907	TMEM167A TMEM167
P38691	856482	GO:0004674; GO:0004712; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0010494; GO:0010570; GO:0016242; GO:0031929; GO:0034613; GO:0035556; GO:2000220	KSP1 YHR082C
Q10752	2540707	GO:0000349; GO:0003723; GO:0004004; GO:0005524; GO:0005681; GO:0034459; GO:0071006	cdc28 prp8 SPBC19C2.01 SPBC21B10.01c SPBC874.01
P19158	854073	GO:0005096; GO:0005739; GO:0005789; GO:0007193; GO:0034599; GO:0043547; GO:0046580; GO:0070301; GO:0070417; GO:0071248	IRA2 CCS1 GLC4 YOL081W O0985
P41806	852997	GO:0005789; GO:0012507; GO:0016021; GO:0033116; GO:0070072	VMA21 YGR105W
Q06412	851145	GO:0000131; GO:0005089; GO:0005935; GO:0007165; GO:0031505; GO:0035023; GO:1903501	TUS1 SOP10 YLR425W
P39706	851265	GO:0000723; GO:0000781; GO:0006348; GO:0006355; GO:0048188; GO:0051568	SWD1 CPS50 SAF49 YAR003W FUN16
P33750	850649	GO:0000462; GO:0005654; GO:0005730; GO:0031167; GO:0032040; GO:0080008	SOF1 YLL011W L1339
B4DUL2	6118		
P15927	6118	GO:0000082; GO:0000722; GO:0000723; GO:0000724; GO:0000781; GO:0000784; GO:0000785; GO:0000794; GO:0003684; GO:0003690; GO:0003697; GO:0005634; GO:0005654; GO:0005662; GO:0006260; GO:0006265; GO:0006268; GO:0006283; GO:0006284; GO:0006289; GO:0006293; GO:0006294; GO:0006296; GO:0006297; GO:0006298; GO:0006312; GO:0007004; GO:0007131; GO:0010569; GO:0016604; GO:0016605; GO:0019899; GO:0019903; GO:0019985; GO:0030491; GO:0031571; GO:0031625; GO:0032201; GO:0033683; GO:0034502; GO:0035861; GO:0036297; GO:0042276; GO:0042769; GO:0043565; GO:0047485; GO:0051096; GO:0070987; GO:0098505; GO:1900034; GO:2000001	RPA2 REPA2 RPA32 RPA34
P27801	850840	GO:0000306; GO:0000329; GO:0005768; GO:0005829; GO:0006886; GO:0006895; GO:0006904; GO:0007032; GO:0007040; GO:0030674; GO:0030897; GO:0032889; GO:0033263; GO:0035542; GO:0042144; GO:0045324; GO:0046872; GO:0099022	PEP3 VAM8 VPS18 VPT18 YLR148W L9634.2
O13782	2542380	GO:0004660; GO:0005634; GO:0005829; GO:0005965; GO:0008270; GO:0018342; GO:0018343; GO:0072659	cpp1 SPAC17G6.04c
B2RUG4	14634	GO:0000122; GO:0000978; GO:0003700; GO:0005634; GO:0005829; GO:0005929; GO:0007224; GO:0008013; GO:0009952; GO:0009953; GO:0030850; GO:0035035; GO:0035108; GO:0036033; GO:0042060; GO:0042826; GO:0043627; GO:0045944; GO:0048568; GO:0090090; GO:0097421	Gli3 mCG_4329
Q3TYX7	14634	GO:0003700; GO:0007224; GO:0009952; GO:0009953; GO:0048568	Gli3
Q61602	14634	GO:0000122; GO:0000977; GO:0000978; GO:0001656; GO:0001658; GO:0001701; GO:0001822; GO:0002052; GO:0003682; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005929; GO:0005930; GO:0006355; GO:0007224; GO:0007389; GO:0007411; GO:0007417; GO:0007420; GO:0007442; GO:0007507; GO:0008013; GO:0008285; GO:0009952; GO:0009953; GO:0009954; GO:0010468; GO:0016485; GO:0016607; GO:0017053; GO:0021513; GO:0021522; GO:0021537; GO:0021543; GO:0021544; GO:0021631; GO:0021766; GO:0021775; GO:0021776; GO:0021798; GO:0021801; GO:0021819; GO:0021861; GO:0021915; GO:0022018; GO:0030318; GO:0030324; GO:0030326; GO:0030850; GO:0030879; GO:0030900; GO:0032332; GO:0033077; GO:0035035; GO:0035108; GO:0035295; GO:0036033; GO:0042060; GO:0042127; GO:0042307; GO:0042475; GO:0042733; GO:0042826; GO:0042981; GO:0043010; GO:0043066; GO:0043565; GO:0043586; GO:0043627; GO:0045060; GO:0045595; GO:0045596; GO:0045665; GO:0045669; GO:0045879; GO:0045892; GO:0045893; GO:0045944; GO:0046638; GO:0046639; GO:0046872; GO:0048557; GO:0048566; GO:0048589; GO:0048593; GO:0048598; GO:0048646; GO:0048663; GO:0048704; GO:0048709; GO:0048754; GO:0048839; GO:0048856; GO:0060021; GO:0060173; GO:0060364; GO:0060366; GO:0060367; GO:0060594; GO:0060831; GO:0060840; GO:0060873; GO:0060875; GO:0061005; GO:0070242; GO:0090090; GO:0097421; GO:1903010	Gli3
P48240	853062	GO:0000176; GO:0000177; GO:0000467; GO:0003723; GO:0005730; GO:0016075; GO:0034427; GO:0034475; GO:0070478; GO:0070481; GO:0070651; GO:0071028; GO:0071035; GO:0071038; GO:0071039; GO:0071042; GO:0071051	MTR3 YGR158C G6676
Q03792	855186	GO:0004197; GO:0004198; GO:0005622; GO:0016485	RIM13 CPL1 YMR154C YM8520.03C
P38696	856530	GO:0000132; GO:0003774; GO:0005200; GO:0005737; GO:0005869; GO:0005874; GO:0007097; GO:0016020; GO:0030286; GO:0031578	ARP1 ACT3 ACT5 YHR129C
P28320	853767	GO:0000349; GO:0071006	YJU2 CWC16 YKL095W YKL442
P38301	852485	GO:0000139; GO:0000324; GO:0005384; GO:0005774; GO:0005794; GO:0005797; GO:0005801; GO:0006874; GO:0015085; GO:0016021; GO:0030026; GO:0032468; GO:0070588; GO:0071421	GDT1 YBR187W YBR1310
P40449	854645		YIL161W
P39535	853241	GO:0005315; GO:0005886; GO:0006797; GO:0006817; GO:0016021; GO:2000185	PHO90 YJL198W J0336
O74789	2540680	GO:0004722; GO:0005634; GO:0005829; GO:0023052; GO:0030289; GO:0045875; GO:0046872; GO:2001034	SPBC26H8.05c
Q9P7M3	2541657	GO:0000724; GO:0016893; GO:0017108; GO:0030874; GO:0030875; GO:0031297; GO:0033557; GO:0045458; GO:0046872	slx1 SPAP27G11.15
P39985	856655	GO:0000166; GO:0000182; GO:0003887; GO:0005730; GO:0006355; GO:0008134; GO:0009303	POL5 YEL055C
P40856	853347	GO:0000082; GO:0002098; GO:0005737	SAP185 YJL098W J0840
P15938	853961	GO:0000350; GO:0000378; GO:0000398; GO:0003723; GO:0005524; GO:0008186; GO:0034459; GO:0071007	PRP16 YKR086W YKR406
P32585	852996	GO:0000979; GO:0001113; GO:0001135; GO:0003712; GO:0006369; GO:0016592; GO:0045944; GO:0051123; GO:0070847	SRB5 MED18 YGR104C
A0A024R9J0	5885	GO:0000785; GO:0000794; GO:0001228; GO:0005654; GO:0008278; GO:0010972; GO:0044877; GO:0045841	RAD21 hCG_19969
O60216	5885	GO:0000775; GO:0000785; GO:0000794; GO:0001228; GO:0003682; GO:0005654; GO:0005694; GO:0005829; GO:0006302; GO:0006310; GO:0006357; GO:0006915; GO:0007062; GO:0007131; GO:0008278; GO:0010972; GO:0016020; GO:0016363; GO:0030893; GO:0044877; GO:0045841; GO:0045876; GO:0051301; GO:0051321; GO:0071168	RAD21 HR21 KIAA0078 NXP1 SCC1
P34160	855155	GO:0000184; GO:0000243; GO:0000339; GO:0000398; GO:0003729; GO:0005634; GO:0005844; GO:0005845; GO:0005846; GO:0006370; GO:0006406; GO:0006970; GO:0031053; GO:0045292; GO:0048471; GO:1990904	STO1 CBC1 CBP80 GCR3 SUT1 YMR125W YM8564.07 YM9553.01
Q01802	853755	GO:0001300; GO:0001302; GO:0004069; GO:0005739; GO:0005759; GO:0006103; GO:0006531; GO:0006533; GO:0006536; GO:0009058; GO:0030170	AAT1 YKL106W YKL461
