Entry	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD0155CE6	Gene ontology IDs	Gene names
P32344	850901	GO:0003735; GO:0005739; GO:0005763; GO:0006397; GO:0031305; GO:0032543	QRI5 COX24 YLR204W
P25385	850767	GO:0000139; GO:0000149; GO:0005484; GO:0005789; GO:0005794; GO:0005829; GO:0006623; GO:0006888; GO:0006891; GO:0006896; GO:0006906; GO:0012507; GO:0016021; GO:0031201; GO:0031902; GO:0042147; GO:0048280	BOS1 YLR078C L9449.9
P40038	856787	GO:0000307; GO:0005634; GO:0005737; GO:0005977; GO:0005979; GO:0005981; GO:0016538; GO:0019901	PCL6 YER059W
P53271	853017	GO:0000139; GO:0000301; GO:0006888; GO:0006891; GO:0015031; GO:0016236; GO:0017119; GO:0019898; GO:0030242; GO:0032258	COG2 SEC35 YGR120C G6324
P21657	854841	GO:0000981; GO:0001080; GO:0001128; GO:0001135; GO:0003677; GO:0005634; GO:0008270; GO:0045848; GO:0045944; GO:1901714; GO:1901717	DAL81 DURL UGA35 YIR023W
P38290	852463	GO:0005634; GO:0006611; GO:0016567	UBS1 YBR165W YBR1217
Q99382	850754	GO:0005773; GO:0005789; GO:0006624; GO:0015031; GO:0016021	ENV10 SND2 YLR065C L2180
P38832	856527	GO:0005199; GO:0005618; GO:0005886; GO:0031225	ANS1 YHR126C
P46675	850734	GO:0000776; GO:0000778; GO:0000922; GO:0005200; GO:0005813; GO:0005816; GO:0005876; GO:0005938; GO:0007020; GO:0007051; GO:0007052; GO:0008017; GO:0030951; GO:0046785; GO:0051010; GO:0051298	STU2 YLR045C L2108
Q01663	2542140	GO:0000790; GO:0000978; GO:0000982; GO:0001077; GO:0005634; GO:0005737; GO:0005829; GO:0006357; GO:0006979; GO:0034599; GO:0036091; GO:0036252; GO:0045944; GO:0061404; GO:0061408; GO:0071313; GO:0090575	pap1 caf3 SPAC1783.07c
P53156	852799		YGL081W
P41896	852888	GO:0000166; GO:0000993; GO:0001111; GO:0001174; GO:0003677; GO:0005674; GO:0006367; GO:0006368; GO:0032968; GO:0051123	TFG2 YGR005C
P48754	12189	GO:0000724; GO:0000793; GO:0000794; GO:0000800; GO:0003682; GO:0003684; GO:0003713; GO:0003723; GO:0004842; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0005759; GO:0005813; GO:0005886; GO:0006301; GO:0006302; GO:0006349; GO:0006357; GO:0006633; GO:0006974; GO:0007059; GO:0007098; GO:0008270; GO:0008630; GO:0009048; GO:0010212; GO:0010575; GO:0010628; GO:0016567; GO:0019899; GO:0031398; GO:0031436; GO:0031625; GO:0032991; GO:0033147; GO:0033160; GO:0035066; GO:0035067; GO:0042802; GO:0043009; GO:0043627; GO:0044030; GO:0044212; GO:0044818; GO:0045717; GO:0045739; GO:0045766; GO:0045892; GO:0045893; GO:0045944; GO:0051298; GO:0051571; GO:0051572; GO:0051573; GO:0051574; GO:0051865; GO:0070063; GO:0070512; GO:0070531; GO:0071158; GO:0071356; GO:0071681; GO:0072425; GO:0085020; GO:1902042; GO:1990904; GO:2000378; GO:2000617; GO:2000620	Brca1
Q6NV63	12189	GO:0003677; GO:0004842; GO:0005694; GO:0006281; GO:0006310; GO:0007049; GO:0008270; GO:0031436; GO:0051865; GO:0085020	Brca1
P17891	853077	GO:0005198; GO:0005516; GO:0005802; GO:0005886; GO:0006886; GO:0006897; GO:0030125; GO:0030130; GO:0030132; GO:0032050; GO:0045807; GO:0048268; GO:0070206; GO:0072583	CLC1 YGR167W
P39000	856832	GO:0005628; GO:0005737; GO:0006031; GO:0008047; GO:0030437; GO:0071555	SHC1 YER096W
Q96RU8	10221	GO:0004860; GO:0005634; GO:0005737; GO:0006469; GO:0007254; GO:0008134; GO:0014912; GO:0031434; GO:0031625; GO:0031665; GO:0032436; GO:0032496; GO:0043405; GO:0043433; GO:0045645; GO:0045651; GO:0045659; GO:0048662; GO:0055106	TRIB1 C8FW GIG2 TRB1
O00567	10528	GO:0001650; GO:0003723; GO:0005654; GO:0005730; GO:0005732; GO:0005737; GO:0006364; GO:0016020; GO:0030515; GO:0031428; GO:0032040; GO:0045296; GO:0070761; GO:1990226	NOP56 NOL5A
P38775	856441	GO:0016021	YHR045W
P25337	850427	GO:0000398; GO:0005681; GO:0005686; GO:0008380	BUD31 CWC14 YCR063W YCR63W YCR903
Q8TGS6	1466505		YMR242W-A
O94679	2541201	GO:0000778; GO:0000779; GO:0000799; GO:0003682; GO:0005634; GO:0005730; GO:0005737; GO:0007076; GO:0010032; GO:0035327; GO:0042393; GO:0051301; GO:0051304	cnd1 SPBC776.13
P25606	850464		YCR100C
P38701	856371	GO:0000462; GO:0002181; GO:0003723; GO:0003735; GO:0022627	RPS20 URP2 YHL015W
Q03798	855189	GO:0016021; GO:0031966	AIM36 FMP39 YMR157C YM8520.06C
Q03406	852100	GO:0000727; GO:0000811; GO:0006261; GO:0031261; GO:0031298; GO:0032508; GO:0071162	SLD5 YDR489W
P25301	851567	GO:0000150; GO:0000707; GO:0000722; GO:0000730; GO:0003690; GO:0003697; GO:0005524; GO:0005634; GO:0006312; GO:0008094; GO:0030491; GO:0033062; GO:0042148; GO:0046982	RAD57 YDR004W YD8119.10
O13759	2542151	GO:0000932; GO:0003723; GO:0003729; GO:0005737; GO:0005829; GO:0010494; GO:0034599; GO:0048255; GO:0070935; GO:1990904; GO:2000815	csx1 SPAC17A2.09c
P54003	854953	GO:0005886; GO:0005938; GO:0006897; GO:0016021; GO:0030437; GO:0030866; GO:0031505; GO:0032185; GO:0045121; GO:0097446	SUR7 YML052W YM9958.11
A0A1U9X7F4	221545		C6orf136 hCG_2039590
Q0P5T2	221545		C6orf136
Q5SQH8	221545		C6orf136
P25656	850456	GO:0005783; GO:0005794; GO:0005802; GO:0005829; GO:0005886; GO:0006886; GO:0006897; GO:0015247; GO:0016021; GO:0031902; GO:0042147; GO:0045332; GO:0051666; GO:1990530	CDC50 YCR094W YCR94W
Q8N1F7	9688	GO:0005635; GO:0005643; GO:0006406; GO:0006606; GO:0006998; GO:0016020; GO:0016032; GO:0016973; GO:0017056; GO:0031965; GO:0034399; GO:0051292; GO:0060391; GO:0060395; GO:0072001; GO:0072015; GO:0090521; GO:1903206	NUP93 KIAA0095
P38241	852357	GO:0000387; GO:0000398; GO:0000974; GO:0017070; GO:0036002; GO:0071006; GO:0071007	ECM2 SLT11 YBR065C YBR0614
O14464	855918	GO:0003735; GO:0005762; GO:0032543; GO:0042254	RTC6 TAE4 YPL183W-A YPL183BW
P53334	853196	GO:0000747; GO:0005576; GO:0005773; GO:0005975; GO:0009277; GO:0009986; GO:0015926; GO:0042124; GO:0042973; GO:0071555	SCW4 YGR279C
Q07843	850626	GO:0006312; GO:0030437	IRC19 RRG4 YLL033W
B9EHX4	11920	GO:0000077; GO:0000723; GO:0004674; GO:0005524; GO:0005634; GO:0006281; GO:0010212; GO:0016572; GO:0031410; GO:0090399	Atm mCG_5641
Q62388	11920	GO:0000077; GO:0000723; GO:0000724; GO:0001541; GO:0001666; GO:0001756; GO:0002331; GO:0002376; GO:0002377; GO:0003677; GO:0004672; GO:0004674; GO:0004677; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005819; GO:0006281; GO:0006468; GO:0006974; GO:0006975; GO:0007050; GO:0007094; GO:0007140; GO:0007143; GO:0007292; GO:0007420; GO:0007507; GO:0008340; GO:0008585; GO:0008630; GO:0009791; GO:0010212; GO:0010506; GO:0016301; GO:0016303; GO:0016572; GO:0018105; GO:0030889; GO:0031410; GO:0032210; GO:0032212; GO:0033129; GO:0033151; GO:0035264; GO:0036289; GO:0042159; GO:0043065; GO:0043517; GO:0043525; GO:0044877; GO:0045141; GO:0045785; GO:0045944; GO:0046777; GO:0046983; GO:0047485; GO:0048538; GO:0048599; GO:0051402; GO:0051726; GO:0070192; GO:0071044; GO:0071300; GO:0071480; GO:0071481; GO:0071500; GO:0072434; GO:0090399; GO:0097694; GO:1901216; GO:1903626; GO:1903978; GO:1904262; GO:1904354; GO:1904358; GO:1904884; GO:1905843; GO:1990391; GO:2001022	Atm
P53208	852898	GO:0004623; GO:0005743; GO:0035965; GO:0052689; GO:0055088	YGR015C
O43086	2541276	GO:0000723; GO:0000781; GO:0000790; GO:0003677; GO:0005524; GO:0005634; GO:0005829; GO:0006310; GO:0031391; GO:0043599; GO:0061860; GO:0070914; GO:1902969	elg1 SPBC947.11c
Q06144	851064	GO:0005783; GO:0006672; GO:0006986; GO:0016021; GO:0035339; GO:0042802; GO:0090155; GO:0090156; GO:1900060	ORM2 YLR350W
O74453	2538757	GO:0004860; GO:0005634; GO:0030685; GO:0032956; GO:0042254; GO:0070507	skb15 SPCC16C4.08c
P21538	852338	GO:0001174; GO:0005654; GO:0006357; GO:0006363; GO:0006369; GO:0043565	REB1 GRF2 YBR049C YBR0502
O75004	2543407	GO:0000724; GO:0000729; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0030428; GO:0032153; GO:0035861; GO:0043596; GO:1903461	cdc24 SPAC8F11.07c
Q06340	851965	GO:0000724; GO:0005634; GO:0005737; GO:0007064; GO:0030466; GO:0031573; GO:0033235	ESC2 YDR363W
A0A1U9X8S4	6293		
B3KMF7	6293		
B4DS44	6293		
Q4VXZ2	6293	GO:0010668; GO:0048611	VPS52 RP5-1033B10.17-001
Q8N1B4	6293	GO:0000938; GO:0005794; GO:0005829; GO:0006896; GO:0007041; GO:0010008; GO:0010668; GO:0015031; GO:0016020; GO:0017137; GO:0019905; GO:0032456; GO:0032588; GO:0042147; GO:0048471; GO:0048611; GO:0055037; GO:1990745	VPS52 SACM2L
O94646	2540761	GO:0000978; GO:0003713; GO:0005634; GO:0005829; GO:0006357; GO:0016592; GO:0034613; GO:0070847	med8 sep15 SPBC21.04
P38287	852458	GO:0000030; GO:0005774; GO:0006688; GO:0016021; GO:0030148; GO:0051999	CSH1 YBR161W YBR1212
Q12050	854315	GO:0000723; GO:0000724; GO:0000781; GO:0003677; GO:0003682; GO:0005634; GO:0006261; GO:0007064; GO:0010526; GO:0031391; GO:0045910; GO:0090618	ELG1 RTT110 YOR144C O3510 YOR3510C
Q03898	851708	GO:0000070; GO:0000164; GO:0000235; GO:0000778; GO:0000922; GO:0005200; GO:0005634; GO:0005816; GO:0005876; GO:0005882; GO:0007052; GO:0008017; GO:0034501; GO:0045104; GO:0072686; GO:1902426	FIN1 YDR130C YD9302.05C
Q8N568	166614	GO:0000226; GO:0004674; GO:0005524; GO:0005737; GO:0005874; GO:0018105; GO:0021766; GO:0021860; GO:0035556; GO:1900181	DCLK2 DCAMKL2 DCDC3B DCK2
P38120	852443	GO:0000462; GO:0003723; GO:0003735; GO:0005763; GO:0032543	MRPS9 YBR146W YBR1123
O75629	8804	GO:0003714; GO:0005576; GO:0005615; GO:0005667; GO:0006357; GO:0007275; GO:0008134; GO:0008283; GO:0035578; GO:0040008; GO:0043312; GO:0048037; GO:0070062	CREG1 CREG UNQ727/PRO1409
O42709	2539838	GO:0000790; GO:0001934; GO:0003688; GO:0003690; GO:0003697; GO:0003896; GO:0005737; GO:0006270; GO:0007049; GO:0031298; GO:0035861; GO:0043596; GO:0046872; GO:0051301; GO:0072686; GO:1900264; GO:1903934; GO:1904931	mcm10 cdc23 SPBC1347.10
O94403	2539056	GO:0003723; GO:0005634; GO:0005730	SPCC126.11c
P38767	856427	GO:0006556; GO:0006855; GO:0015238; GO:0015297; GO:0016021	ERC1 YHR032W
P38967	854139	GO:0003824; GO:0005300; GO:0005886; GO:0015173; GO:0015801; GO:0015827; GO:0016021	TAT2 LTG3 SAB2 SCM2 TAP2 YOL020W
P35845	851286	GO:0000138; GO:0000139; GO:0005545; GO:0005635; GO:0005640; GO:0005769; GO:0005783; GO:0005829; GO:0006887; GO:0006897; GO:0008142; GO:0008289; GO:0015248; GO:0015918; GO:0016020; GO:0030011; GO:0032934; GO:0034727; GO:0043231; GO:0071561	SWH1 OSH1 YAR042W YAR044W
P36124	853900	GO:0006355; GO:0016575; GO:0034967; GO:0035064; GO:0045835; GO:0046872; GO:0051321	SET3 YKR029C
A0A0S2Z652	91949	GO:0005730; GO:0005794; GO:0006886; GO:0017119	COG7 hCG_23862
P83436	91949	GO:0000139; GO:0005730; GO:0005794; GO:0006486; GO:0006886; GO:0006888; GO:0006890; GO:0007030; GO:0017119; GO:0032588; GO:0033365; GO:0034067; GO:0050821	COG7 UNQ3082/PRO10013
P13671	729	GO:0001701; GO:0001970; GO:0005576; GO:0005579; GO:0006956; GO:0006958; GO:0019835; GO:0030449; GO:0045087; GO:0045766; GO:0070062	C6
P10662	851948	GO:0003735; GO:0004784; GO:0005763; GO:0032543; GO:0046872	MRP1 YDR347W D9651.1
P36583	2539649	GO:0000935; GO:0004674; GO:0004697; GO:0005524; GO:0005622; GO:0009272; GO:0018105; GO:0032153; GO:0032949; GO:0035556; GO:0046872; GO:0050732; GO:0051286; GO:0090334; GO:2000769	pck2 pkc1 sts6 SPBC12D12.04c
Q12701	2539517	GO:0004672; GO:0004674; GO:0004676; GO:0005524; GO:0005547; GO:0005737; GO:0007165; GO:0018105; GO:0035556; GO:0042149; GO:0071852	ksg1 SPCC576.15c
Q12079	856138	GO:0016021	YPR027C YP9367.07c
O14079	2542517	GO:0005634; GO:0005737; GO:0007095; GO:0035861; GO:1990023	mdb1 SPAC2E11.14 SPACUNK4.14
P38206	852261	GO:0005319; GO:0005789; GO:0008643; GO:0016021; GO:0034202; GO:0034203	RFT1 YBL020W YBL0442
Q8T8N8	172310	GO:0004300; GO:0005739; GO:0006635; GO:0016507; GO:0016509	ech-1.2 CELE_T08B2.7 T08B2.7
Q9BIC3	172310	GO:0004300; GO:0005739; GO:0006635; GO:0016507; GO:0016509	ech-1.2 CELE_T08B2.7 T08B2.7
Q9GYT0	172310	GO:0004300; GO:0005739; GO:0006635; GO:0016507; GO:0016509	ech-1.2 CELE_T08B2.7 T08B2.7
Q03661	855259	GO:0000784; GO:0006348; GO:0034398; GO:0034399; GO:0060969	ESC1 YMR219W YM8261.13 YM9959.01
Q03691	855240	GO:0005789; GO:0006457; GO:0006458; GO:0006487; GO:0007118; GO:0009272; GO:0016021; GO:0030950; GO:0034975; GO:0035269; GO:0051082	ROT1 YMR200W YM8325.01
P27895	856648	GO:0000022; GO:0000070; GO:0000073; GO:0000235; GO:0000778; GO:0003777; GO:0005524; GO:0005634; GO:0005739; GO:0005828; GO:0005871; GO:0005874; GO:0005876; GO:0007018; GO:0007019; GO:0008017; GO:0008569; GO:0008574; GO:0016887; GO:0051301; GO:0090307	CIN8 KSL2 YEL061C
P53861	855491	GO:0006357; GO:0006511; GO:0016567; GO:0031463; GO:0070449	ELA1 YNL230C N1161
P34216	852233	GO:0005509; GO:0005737; GO:0005934; GO:0005935; GO:0006897; GO:0030479; GO:0030968; GO:0032467; GO:0032880; GO:0043130; GO:0044396	EDE1 BUD15 YBL047C YBL0501 YBL0520
P32591	853264	GO:0000436; GO:0003677; GO:0005634; GO:0005829; GO:0005987; GO:0016514; GO:0031496; GO:0042393; GO:0043044; GO:0044109; GO:0045944	SWI3 TYE2 YJL176C J0495
P25046	852184	GO:0000122; GO:0001113; GO:0001135; GO:0003712; GO:0005634; GO:0016592; GO:0045944; GO:0051123; GO:0070847	ROX3 MED19 NUT3 SSN7 YBL093C YBL0837
P53246	852962	GO:0003677; GO:0005634; GO:0005773; GO:0006624; GO:0007033; GO:0046872	ENV11 YGR071C
P32613	856663	GO:0005794; GO:0005829; GO:0006888; GO:0034498; GO:0034622; GO:1990071	TCA17 YEL048C SYGP-ORF36
O36027	2543589	GO:0000147; GO:0005884; GO:0006897; GO:0030041; GO:0030048; GO:0030479; GO:0030838; GO:0031097; GO:0043332; GO:0044397; GO:0045010; GO:0051015; GO:0051127; GO:0051666; GO:0071963; GO:1902404; GO:1903475; GO:2000601	wsp1 SPAC4F10.15c
Q10570	29894	GO:0000398; GO:0005634; GO:0005654; GO:0005847; GO:0006369; GO:0006378; GO:0006406; GO:0019899; GO:0031124; GO:0035925; GO:0098789	CPSF1 CPSF160
Q9HDY7	2543449	GO:0000775; GO:0005634; GO:0005829; GO:0034080; GO:0034506; GO:0042393; GO:0046982; GO:0051382; GO:0071459	SPAPB1A10.02
A0A0A0MRG4	10407	GO:0005576	SPAG11B
Q08648	10407	GO:0005576; GO:0007283; GO:0042742; GO:0051715; GO:0061844	SPAG11B EP2 HE2
Q6PDA7	10407	GO:0005576; GO:0042742	SPAG11A EP2 HE2
Q12236	854053	GO:0000196; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005938; GO:0006468; GO:0006897; GO:0010606; GO:0018105; GO:0032511; GO:0035556; GO:0060211; GO:0071902	PKH2 YOL100W HRC1081
P48527	856007	GO:0003723; GO:0004831; GO:0005524; GO:0005739; GO:0005759; GO:0005829; GO:0043039; GO:0070184	MSY1 YPL097W LPG11W
Q6PI78	157378	GO:0003231; GO:0005743; GO:0005886; GO:0014704; GO:0016021; GO:1903779	TMEM65
D6VTK4	850518	GO:0000750; GO:0000755; GO:0004934; GO:0005550; GO:0005887; GO:0030031; GO:0031139; GO:0035624; GO:0038038; GO:0051260	STE2 YFL026W
P38620	856836	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0006164; GO:0009116; GO:0009156; GO:0009165; GO:0016301; GO:0031505	PRS2 PRPS2 PRS YER099C
P22515	853670	GO:0004839; GO:0005524; GO:0005634; GO:0005737; GO:0006974; GO:0016567	UBA1 YKL210W
P32912	852660	GO:0000149; GO:0000329; GO:0000407; GO:0005484; GO:0006886; GO:0006906; GO:0012505; GO:0016021; GO:0016236; GO:0031201; GO:0032258; GO:0032266; GO:0034727; GO:0042144; GO:0048278; GO:0061909	VAM7 YGL212W
Q06336	851960	GO:0005802; GO:0005829; GO:0006895; GO:0006896; GO:0030131; GO:0043130; GO:0043328	GGA1 YDR358W D9476.2
Q02863	856032	GO:0004197; GO:0004843; GO:0005741; GO:0006511; GO:0016579	UBP16 YPL072W LPF12W
P53169	852820	GO:0000778; GO:0005737; GO:0007052; GO:0034599; GO:0043505	YBP2 YBH1 YGL060W
P25340	852872	GO:0000246; GO:0005783; GO:0006696; GO:0016126; GO:0030176	ERG4 YGL012W YGL022
P38699	856583	GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0008270; GO:0009410; GO:0043619	STB5 YHR178W
A0A140VK64	10422	GO:0005794; GO:0005829; GO:0005886	
Q9BSL1	10422	GO:0005794; GO:0005829; GO:0005886; GO:0016567; GO:0070062	UBAC1 GBDR1 KPC2 UBADC1
P20435	856317	GO:0001054; GO:0001172; GO:0003677; GO:0005654; GO:0005665; GO:0005666; GO:0005736; GO:0005737; GO:0006360; GO:0006366; GO:0006383; GO:0006386; GO:0042254; GO:0042797	RPO26 RPB6 YPR187W P9677.8
Q03897	851706	GO:0015031; GO:0035859; GO:0097042; GO:1904263	MTC5 SEA3 YDR128W
P36022	853928	GO:0000070; GO:0000132; GO:0000235; GO:0000741; GO:0005524; GO:0005816; GO:0005868; GO:0005881; GO:0005938; GO:0007018; GO:0008569; GO:0030286; GO:0030473; GO:0031122; GO:0040001; GO:0045503; GO:0045505; GO:0051959; GO:0072382	DYN1 DHC1 YKR054C
Q04500	854881	GO:0000447; GO:0000472; GO:0000480; GO:0005524; GO:0005654; GO:0005730; GO:0031167; GO:0032040	UTP14 YML093W
Q08826	854539	GO:0000139; GO:0005768; GO:0005829; GO:0008104; GO:0015031; GO:0031902; GO:0032266; GO:0032994; GO:0034499	SNX3 GRD19 YOR357C
P50273	851952	GO:0005743; GO:0045182; GO:0070071; GO:0070131	ATP22 TCM10 YDR350C D9476.9
O75431	10651	GO:0001401; GO:0005730; GO:0005739; GO:0005741; GO:0006839; GO:0015031	MTX2
P53090	852672	GO:0005737; GO:0006571; GO:0008793; GO:0009072; GO:0009094; GO:0019509; GO:0019878; GO:0030170; GO:0047536; GO:0080130	ARO8 YGL202W
Q9P6M8	3361521	GO:0003723; GO:0005634; GO:0005737; GO:0006406; GO:0008143; GO:0048255; GO:1902373; GO:1990904	crp79 meu5 SPAC1610.03c
Q12483	856105	GO:0000433; GO:0000814; GO:0006623; GO:0043162; GO:0043328; GO:1904669	SNF8 VPS22 YPL002C
P53260	852994	GO:0005524; GO:0005739; GO:0005743; GO:0030956; GO:0032543; GO:0050567; GO:0070681	GTF1 YGR102C
P36077	853776	GO:0005524; GO:0005634; GO:0005737; GO:0032272; GO:0032542; GO:0034599	SRX1 YKL086W
P06843	856908	GO:0000122; GO:0000217; GO:0003677; GO:0005634; GO:0005829; GO:0006325; GO:0006355; GO:0006368; GO:0010847; GO:0042393; GO:0043486; GO:0043631	SPT2 SIN1 SPM2 YER161C
Q9UUK2	2542513	GO:0000124; GO:0000790; GO:0005634; GO:0006338; GO:0006357; GO:0007131; GO:0010484; GO:0036408; GO:0043966; GO:0043992; GO:1902625; GO:1905533	gcn5 SPAC1952.05
Q00539	856486	GO:0000243; GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005685; GO:0005737; GO:0005739; GO:0006376; GO:0048026; GO:0071004	NAM8 MRE2 YHR086W
Q99216	854317	GO:0000447; GO:0000472; GO:0003723; GO:0005634; GO:0005730; GO:0005737; GO:0043248; GO:0051082	PNO1 DIM2 RRP20 YOR145C O3513 YOR3513C
Q12215	854046	GO:0004888; GO:0005622; GO:0007266; GO:0009408; GO:0016021; GO:0030242; GO:0071555	WSC3 YOL105C HRE556
Q06160	851023	GO:0000131; GO:0003779; GO:0005078; GO:0005826; GO:0005934; GO:0005935; GO:0005937; GO:0007121; GO:0007124; GO:0008360; GO:0031382; GO:0036267; GO:0043332; GO:1902716	SPH1 YLR313C
Q07651	851304	GO:0005886; GO:0005938; GO:0006897; GO:0016021; GO:0030437; GO:0030866; GO:0031505; GO:0032185; GO:0045121	FMP45 YDL222C
P53848	855465	GO:0003848; GO:0004150; GO:0004156; GO:0005524; GO:0005737; GO:0005740; GO:0016301; GO:0031966; GO:0046654; GO:0046656; GO:0046872	FOL1 YNL256W N0848
A0A090N8Y5	23658	GO:0003723; GO:0005681; GO:0006397; GO:0008380; GO:0009617	LSM5 hCG_37327 tcag7.675
Q9Y4Y9	23658	GO:0000398; GO:0003723; GO:0005634; GO:0005654; GO:0005688; GO:0005829; GO:0006397; GO:0009617; GO:0043928; GO:0046540; GO:0071005; GO:0120115; GO:1990726	LSM5
P43007	6509	GO:0005254; GO:0005813; GO:0005815; GO:0005882; GO:0005886; GO:0005887; GO:0006865; GO:0006868; GO:0009986; GO:0015171; GO:0015180; GO:0015184; GO:0015186; GO:0015193; GO:0015194; GO:0015195; GO:0015293; GO:0015808; GO:0015811; GO:0015824; GO:0015825; GO:0015826; GO:0016020; GO:0016021; GO:0030425; GO:0034589; GO:0034590; GO:0035249; GO:0042470; GO:0043025; GO:0050890; GO:0070062	SLC1A4 ASCT1 SATT
P47155	853582	GO:0000002; GO:0005789; GO:0016021	ILM1 YJR118C J2033
Q7KUZ5	32551	GO:0000079; GO:0000278; GO:0000307; GO:0005634; GO:0005737; GO:0006468; GO:0007005; GO:0007088; GO:0008283; GO:0008284; GO:0016538; GO:0016740; GO:0019901; GO:0030307; GO:0045787; GO:0046427; GO:1900087; GO:1904263	CycD CDI3 Cdi3 cdi3 Cyc D CYCD cycD cyclin D cyclinD dCycD DmcycD Dmel\CG9096 CG9096 Dmel_CG9096
P40340	853186	GO:0000122; GO:0003682; GO:0005524; GO:0005634; GO:0005829; GO:0016887; GO:0031936; GO:0042393; GO:0042406; GO:0045944; GO:2000219	YTA7 YGR270W
P41909	855956	GO:0005324; GO:0005524; GO:0005777; GO:0005779; GO:0006635; GO:0015908; GO:0015910; GO:0015916; GO:0042626; GO:0042758; GO:0042760	PXA1 PAL1 PAT2 SSH2 YPL147W LPI1W P2607
Q03702	853858	GO:0000002; GO:0000402; GO:0000403; GO:0004520; GO:0005739; GO:0005743; GO:0008821; GO:0046872; GO:0070336	CCE1 YKL011C YKL164
P16622	854347	GO:0004325; GO:0005739; GO:0005743; GO:0006783	HEM15 YOR176W
P38922	855728	GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0016973; GO:0071014; GO:0071028; GO:1990904; GO:2000815	HRB1 TOM34 YNL004W N2009
P50582	2541165	GO:0000076; GO:0000082; GO:0000727; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0006270; GO:0006468; GO:0010620; GO:0018105; GO:0018107; GO:0031431; GO:0033314; GO:0043392; GO:0048478; GO:0051301; GO:0072428; GO:1902975	hsk1 SPBC776.12c
P50112	851511	GO:0005576; GO:0006078; GO:0009277; GO:0031505; GO:0042546	KNH1 YDL049C
P21592	855931	GO:0005739; GO:0006784; GO:0008495; GO:0016021; GO:0031966; GO:0045333; GO:0048034	COX10 YPL172C
P35724	853801	GO:0000329; GO:0010961; GO:0015095; GO:0016020; GO:0016021; GO:1990816	MNR2 YKL064W
P08459	852134	GO:0005886; GO:0009277; GO:0030437; GO:0030476; GO:0031225; GO:0031505	SPS2 YDR522C D9719.26
P19541	855970	GO:0000977; GO:0000978; GO:0001077; GO:0005634; GO:0005737; GO:0008270; GO:0015976; GO:0035948; GO:0045722; GO:0045944; GO:0061414; GO:0061415; GO:0071466; GO:0071555	RDS2 YPL133C LPI12C
P47046	853396	GO:0005933; GO:0006312; GO:0016021	IRC8 YJL051W J1156
P19880	855005	GO:0000304; GO:0003677; GO:0003700; GO:0005634; GO:0005737; GO:0009408; GO:0010038; GO:0042493; GO:0043619; GO:0046686; GO:1900101	YAP1 PAR1 PDR4 SNQ3 YML007W YM9571.12
O94744	2538770	GO:0005622; GO:0005886; GO:0010515; GO:0010619; GO:0016021; GO:1903759; GO:1990576	git3 SPCC1753.02c
P40102	856937		YER187W
P43563	850508	GO:0000920; GO:0001934; GO:0005634; GO:0005737; GO:0005933; GO:0005934; GO:0005935; GO:0007049; GO:0007118; GO:0007163; GO:0030295; GO:0043332	MOB2 YFL034C-B YFL035C YFL035C-A
P04801	854732	GO:0004829; GO:0005524; GO:0005737; GO:0006435	THS1 YIL078W
P35198	851870	GO:0007165; GO:1904659	MTH1 YDR277C D9954.12
B4DK64	85464	GO:0004725; GO:0008138	
F5H527	85464	GO:0004725; GO:0008138; GO:0030335	SSH2
Q76I76	85464	GO:0003779; GO:0004721; GO:0004725; GO:0005615; GO:0005737; GO:0005856; GO:0006470; GO:0008064; GO:0008138; GO:0010591; GO:0030036; GO:0050770	SSH2 KIAA1725 SSH2L
Q06091	856216	GO:0000398; GO:0000974; GO:0071006	SNT309 NTC25 YPR101W
P32559	855037	GO:0002098; GO:0003924; GO:0005525; GO:0005737; GO:0005739; GO:0005743; GO:0005759; GO:0006400; GO:0016740; GO:0030488; GO:0070899	MSS1 PET53 YMR023C YM9711.13C
P06839	856918	GO:0000019; GO:0000112; GO:0000439; GO:0000717; GO:0003684; GO:0004003; GO:0005524; GO:0005634; GO:0005675; GO:0005829; GO:0006366; GO:0006979; GO:0009411; GO:0010525; GO:0033683; GO:0043139; GO:0043141; GO:0045893; GO:0045951; GO:0046872; GO:0051539; GO:0070816	RAD3 REM1 YER171W
O74738	2539820	GO:0005634; GO:0005829; GO:0016279; GO:0018026; GO:0018027; GO:0042254	set10 SPBC1709.13c
P25042	856178	GO:0000122; GO:0000790; GO:0000987; GO:0001078; GO:0001135; GO:0008301; GO:0043565; GO:0071470; GO:0097201	ROX1 YPR065W YP9499.20
Q07845	850624	GO:0000448; GO:0005524; GO:0006363; GO:0006364; GO:0030874; GO:0051731	GRC3 YLL035W
