Entry	yourlist:M2018111714483A1C7ED25EE8374758DF3FD545FD01369DP	Gene ontology IDs
P25453	856926	GO:0000150; GO:0000709; GO:0000730; GO:0000794; GO:0003690; GO:0003697; GO:0005524; GO:0005634; GO:0006312; GO:0007130; GO:0007131; GO:0008094; GO:0016887; GO:0030435; GO:0042148; GO:0051321
Q08929	855912	GO:0008374; GO:0015293; GO:0015793; GO:0016020; GO:0016021
P33767	856716	GO:0005635; GO:0005783; GO:0005789; GO:0006487; GO:0008250; GO:0016021; GO:0016757; GO:0018279
P42838	855393	GO:0004012; GO:0005783; GO:0005794; GO:0005886; GO:0007166; GO:0015247; GO:0016021; GO:0044088; GO:0045332; GO:1990531
P38712	856462	GO:0000462; GO:0003723; GO:0004004; GO:0005524; GO:0005654; GO:0005730; GO:0008186; GO:0031167
Q9UJX2	8697	GO:0000278; GO:0004842; GO:0005622; GO:0005654; GO:0005680; GO:0005829; GO:0006511; GO:0007080; GO:0007091; GO:0007096; GO:0030071; GO:0031145; GO:0051301; GO:0070979
P62992	286839	GO:0003735; GO:0005634; GO:0005737; GO:0006412; GO:0016567; GO:0019941; GO:0022627; GO:0031386; GO:0031625; GO:0043209; GO:0046872
P40996	2541726	GO:0000747; GO:0000753; GO:0005634; GO:0005829; GO:0006801; GO:0016176; GO:0030427; GO:0030674; GO:0031520; GO:0032153; GO:0032266; GO:0032488; GO:0032947; GO:0035091; GO:0043332; GO:0051286; GO:0071521; GO:0071963; GO:0090726; GO:2000769
A0A024RC00	56474	GO:0003883; GO:0005524; GO:0006541; GO:0044210
Q9NRF8	56474	GO:0003883; GO:0005524; GO:0005829; GO:0006220; GO:0006541; GO:0015949; GO:0044210
P47147	853574	GO:0003729; GO:0004438; GO:0004725; GO:0005737; GO:0046856
Q12149	854162	GO:0000166; GO:0000175; GO:0000176; GO:0000467; GO:0000973; GO:0003723; GO:0005634; GO:0005730; GO:0034473; GO:0034475; GO:0034476; GO:0071028; GO:0071033; GO:0071035; GO:0071036; GO:0071037; GO:0071038; GO:0071039; GO:0071040; GO:0071042; GO:0071044; GO:0071049; GO:0071051
P48558	855411	GO:0000324; GO:0005739; GO:0005774; GO:0005783; GO:0005789; GO:0006915; GO:0016021; GO:0019722; GO:0030968; GO:0031966
P38843	856545	GO:0005789; GO:0005935; GO:0006457; GO:0006888; GO:0015031; GO:0016021; GO:0034221; GO:0051082; GO:0071555
Q3E795	1466422	
Q07951	850708	GO:0005622; GO:0043248; GO:0051131; GO:0070481
Q12179	855831	GO:0005634; GO:0005737
P29547	856059	GO:0001047; GO:0003700; GO:0003746; GO:0005085; GO:0005509; GO:0005543; GO:0005634; GO:0005737; GO:0006414; GO:0006449; GO:0010494; GO:0042254; GO:0045944
A0A024R2W4	1605	GO:0005509; GO:0007016; GO:0016010; GO:0016021
Q14118	1605	GO:0001618; GO:0001954; GO:0002011; GO:0002162; GO:0003779; GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0005654; GO:0005737; GO:0005788; GO:0005796; GO:0005829; GO:0005856; GO:0005886; GO:0005913; GO:0005925; GO:0006509; GO:0007016; GO:0007568; GO:0008307; GO:0009897; GO:0010470; GO:0010717; GO:0014894; GO:0015631; GO:0016010; GO:0016011; GO:0016021; GO:0016323; GO:0016340; GO:0016476; GO:0017166; GO:0019048; GO:0021682; GO:0022011; GO:0030027; GO:0030175; GO:0030198; GO:0030336; GO:0031103; GO:0031643; GO:0033268; GO:0034399; GO:0034453; GO:0042169; GO:0042383; GO:0043034; GO:0043237; GO:0043403; GO:0043409; GO:0043434; GO:0044853; GO:0045211; GO:0045860; GO:0048714; GO:0050807; GO:0051393; GO:0051898; GO:0060055; GO:0060441; GO:0060445; GO:0062023; GO:0070062; GO:0070938; GO:0071260; GO:0071397; GO:0071679; GO:0071711; GO:0098696; GO:0098942; GO:0098978; GO:0098982; GO:0099524; GO:1904261
Q06702	851016	GO:0000272; GO:0004099; GO:0005631; GO:0006032; GO:0030476
P40433	854699	GO:0003873; GO:0005524; GO:0005737; GO:0005829; GO:0006000; GO:0006003
P38627	853567	GO:0003883; GO:0005524; GO:0005829; GO:0006241; GO:0006541; GO:0008654; GO:0019856; GO:0044210; GO:0097268
P25383	850339	GO:0000943; GO:0003723; GO:0005737; GO:0032197
P36060	853707	GO:0004128; GO:0005741; GO:0005758; GO:0006696; GO:0031307; GO:0034599
Q3E731	850642	GO:0005507; GO:0005758; GO:0005829; GO:0030001; GO:0033617
P38271	852426	GO:0005546; GO:0005737; GO:0005886; GO:1902647
E9Q3B9	23945	GO:0005654
O35678	23945	GO:0005654; GO:0005829; GO:0006633; GO:0009966; GO:0016020; GO:0016787; GO:0019369; GO:0019433; GO:0019898; GO:0030424; GO:0030516; GO:0042803; GO:0043196; GO:0045202; GO:0046464; GO:0047372; GO:0050727; GO:0051930; GO:0060292; GO:0097756; GO:2000124
Q3UFN1	23945	
P38088	852418	GO:0004820; GO:0005524; GO:0005737; GO:0005739; GO:0005759; GO:0006353; GO:0006426; GO:0015966; GO:0046983; GO:0070150
O43318	6885	GO:0000186; GO:0000187; GO:0000287; GO:0002223; GO:0002726; GO:0002755; GO:0004672; GO:0004674; GO:0004709; GO:0005524; GO:0005634; GO:0005671; GO:0005829; GO:0005886; GO:0007179; GO:0007223; GO:0007249; GO:0007250; GO:0007252; GO:0007254; GO:0010008; GO:0016032; GO:0016239; GO:0016579; GO:0030971; GO:0032743; GO:0038095; GO:0042802; GO:0043123; GO:0043276; GO:0043507; GO:0043966; GO:0050852; GO:0051092; GO:0051403; GO:0070423; GO:0070498; GO:0097110
P33302	854324	GO:0005524; GO:0005886; GO:0008559; GO:0015893; GO:0016021; GO:0030003; GO:0042493; GO:0042626; GO:0046618; GO:0046898; GO:0055085
P38111	852433	GO:0000077; GO:0000722; GO:0000723; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0006139; GO:0006260; GO:0006281; GO:0006310; GO:0006975; GO:0007131; GO:0016572; GO:2000105
Q12216	854327	GO:0000790; GO:0003690; GO:0007059; GO:0008270; GO:0016925; GO:0019789; GO:0060969; GO:1990683
P22219	852394	GO:0000011; GO:0004674; GO:0005524; GO:0005643; GO:0005770; GO:0005794; GO:0006468; GO:0006623; GO:0010008; GO:0016236; GO:0030242; GO:0032968; GO:0034271; GO:0034272; GO:0043130; GO:0045053; GO:0045324; GO:0048017; GO:0071561; GO:0120095
P35208	853315	GO:0000122; GO:0000183; GO:0000781; GO:0004402; GO:0006281; GO:0006348; GO:0010507; GO:0016573; GO:0016747; GO:0030466; GO:0032931; GO:0043565; GO:0097043; GO:1990841
P05109	6279	GO:0001816; GO:0002224; GO:0002523; GO:0002526; GO:0002544; GO:0002793; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005829; GO:0005856; GO:0005886; GO:0006914; GO:0006915; GO:0006919; GO:0006954; GO:0008017; GO:0008270; GO:0010043; GO:0014002; GO:0018119; GO:0019730; GO:0030307; GO:0030593; GO:0032119; GO:0032496; GO:0032602; GO:0034774; GO:0035662; GO:0042060; GO:0042742; GO:0043312; GO:0045087; GO:0045111; GO:0045471; GO:0050544; GO:0050729; GO:0050786; GO:0050832; GO:0051092; GO:0051493; GO:0062023; GO:0070062; GO:0070488; GO:2001244
P38279	852444	GO:0015174; GO:0031966; GO:0034488; GO:0071627
P38842	856543	GO:0005789; GO:0012505; GO:0016021
A0A024RD93	10606	GO:0004639; GO:0006189
P22234	10606	GO:0004638; GO:0004639; GO:0005524; GO:0005737; GO:0005829; GO:0006189; GO:0009113; GO:0009168; GO:0016020; GO:0042802; GO:0043727; GO:0045296; GO:0070062
P25559	850344	GO:0000775; GO:0000785; GO:0005654; GO:0006260; GO:0006275; GO:0007064; GO:0031390; GO:0034088; GO:0035753
P32344	850901	GO:0003735; GO:0005739; GO:0005763; GO:0006397; GO:0031305; GO:0032543
Q04779	855097	GO:0000118; GO:0006368; GO:0016575; GO:0030174; GO:0032221; GO:0045944; GO:0046872; GO:0060195; GO:0061587
P25344	850325	GO:0000161; GO:0000750; GO:0001402; GO:0005737; GO:0007050; GO:0007232; GO:0019887; GO:0032093; GO:0034605
O95997	9232	GO:0000981; GO:0003700; GO:0004869; GO:0005634; GO:0005737; GO:0005829; GO:0006281; GO:0006366; GO:0007283; GO:0017124; GO:0031145; GO:0045143; GO:0051276; GO:0051301; GO:2000816
Q6IAL9	9232	GO:0005634; GO:0005737; GO:0051276
P25618	850376	GO:0005789; GO:0005887; GO:0005934; GO:0005935; GO:0006505; GO:0006506; GO:0031505; GO:0071555
O88846	29274	GO:0003677; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0007283; GO:0008134; GO:0008270; GO:0008584; GO:0016567; GO:0016605; GO:0017025; GO:0030331; GO:0031491; GO:0031624; GO:0032184; GO:0032355; GO:0033142; GO:0042802; GO:0042803; GO:0043161; GO:0044752; GO:0045893; GO:0045944; GO:0046685; GO:0050681; GO:0051865; GO:0060548; GO:0061630; GO:0070534; GO:0070936; GO:0070979; GO:0071243; GO:0071345; GO:0071394; GO:0071480; GO:0072711; GO:0085020; GO:0090169; GO:0090234
P40448	854643	
Q8N7W2	222389	GO:0070062
A0A024RDV7	3839	GO:0005634; GO:0005737; GO:0006606; GO:0008022; GO:0008565; GO:0061608
O00505	3839	GO:0005643; GO:0005654; GO:0005829; GO:0006607; GO:0008022; GO:0008139; GO:0008565; GO:0019054; GO:0043657; GO:0046718; GO:0061608; GO:0065003; GO:0075732
O60684	23633	GO:0005643; GO:0005654; GO:0005829; GO:0006607; GO:0008139; GO:0008565; GO:0016020; GO:0045944; GO:0060135; GO:0061608
P34165	852072	GO:0000750; GO:0000772; GO:0005576; GO:0005886
P34253	853750	GO:0002098; GO:0003682; GO:0005524; GO:0005634; GO:0005737; GO:0006357
Q12175	851401	GO:0000712; GO:0000795; GO:0003684; GO:0005524; GO:0006298; GO:0007131; GO:0008094; GO:0030983; GO:0032300; GO:0045143; GO:0051026
P38794	856468	GO:0000307; GO:0005634; GO:0007049; GO:0016242; GO:0016538; GO:0031647; GO:0043433; GO:0051301
P47055	853413	GO:0016021; GO:0030476; GO:0051276
P17442	853148	GO:0004861; GO:0005634; GO:0005737; GO:0006629; GO:0006796; GO:0008081
P25298	855083	GO:0003729; GO:0005634; GO:0005739; GO:0005829; GO:0005849; GO:0006378; GO:0031123; GO:0046982; GO:0072423; GO:0098789
Q12250	851408	GO:0000338; GO:0000502; GO:0005737; GO:0008180; GO:0008541; GO:0031595; GO:0034515; GO:0043161
P53212	852904	GO:0005739
P38336	852560	GO:0000172; GO:0000294; GO:0003723; GO:0004540; GO:0005655; GO:0006364; GO:0008033; GO:0030677; GO:0033204; GO:0034965; GO:0042134; GO:0090502
P25337	850427	GO:0000398; GO:0005681; GO:0005686; GO:0008380
P40050	856810	GO:0005739
Q04053	852035	GO:0005768; GO:0005770; GO:0005829; GO:0010008; GO:0015031; GO:0032266; GO:0035091; GO:0042147
P06105	853365	GO:0000750; GO:0000781; GO:0001965; GO:0003723; GO:0003729; GO:0005737; GO:0005783; GO:0005789; GO:0005844; GO:0006348; GO:0007059; GO:0008298; GO:0030466; GO:0031965; GO:0042175; GO:0043577; GO:0045141
Q08581	854370	GO:0000776; GO:0000778; GO:0005737; GO:0005816; GO:0005819; GO:0005874; GO:0007052; GO:0007059; GO:0007097; GO:0031536; GO:0051233; GO:0051301; GO:0051321; GO:0098653
O13329	851688	GO:0000183; GO:0001302; GO:0005730; GO:0006310; GO:0006325; GO:0007059; GO:0007580; GO:0008156; GO:0031582; GO:0033553; GO:0034503; GO:0043007; GO:0043110; GO:0045911; GO:0046872; GO:0070550; GO:0090342; GO:0090579
Q3E743	1466470	GO:0016021
Q06505	856251	GO:0000993; GO:0001085; GO:0005634; GO:0006357; GO:0010793; GO:0016973; GO:0034243; GO:0050684; GO:0060303; GO:0070827; GO:2001253
P40469	854678	GO:0005634; GO:0005829; GO:0006259; GO:0006281; GO:0009411; GO:0010033; GO:0016226; GO:0097428
Q08816	854534	GO:0005675; GO:0005737
P31385	851220	GO:0000122; GO:0005737; GO:0006357; GO:0016575; GO:0030174; GO:0031939; GO:0033698; GO:0042826; GO:0045944; GO:0061186; GO:0061188; GO:0061408; GO:0070822; GO:1900375; GO:1900471; GO:1900472; GO:1900473; GO:1900525; GO:1900526
A0A0S2Z4B5	5530	GO:0004721; GO:0005654; GO:0005829
A0A0S2Z4C6	5530	GO:0000082; GO:0001975; GO:0005516; GO:0005654; GO:0005739; GO:0005829; GO:0005955; GO:0006606; GO:0006816; GO:0007420; GO:0014883; GO:0014898; GO:0016020; GO:0030018; GO:0033173; GO:0033192; GO:0033555; GO:0035562; GO:0036057; GO:0045807; GO:0045944; GO:0046676; GO:0046982; GO:0048741; GO:0050774; GO:0051091; GO:0060079; GO:0070886; GO:0071333; GO:0098685; GO:0098794; GO:0098978; GO:0099170; GO:1903244; GO:1903799; GO:1905205
Q08209	5530	GO:0000082; GO:0001975; GO:0004722; GO:0005509; GO:0005516; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0005955; GO:0006470; GO:0006606; GO:0006816; GO:0007223; GO:0007420; GO:0008144; GO:0014883; GO:0014898; GO:0016018; GO:0016311; GO:0019899; GO:0030018; GO:0030335; GO:0033173; GO:0033192; GO:0033555; GO:0035562; GO:0035690; GO:0036057; GO:0038095; GO:0042110; GO:0042383; GO:0043197; GO:0045785; GO:0045807; GO:0045944; GO:0046676; GO:0046982; GO:0046983; GO:0048741; GO:0050774; GO:0051091; GO:0051592; GO:0060079; GO:0070886; GO:0071333; GO:0097720; GO:0098685; GO:0098978; GO:0099170; GO:1903244; GO:1903799; GO:1905205
P29952	856720	GO:0000032; GO:0004476; GO:0005737; GO:0005975; GO:0006486; GO:0008270; GO:0009298; GO:0031505
Q06686	851129	GO:0005375; GO:0005887; GO:0015677; GO:0030659
P22803	853123	GO:0000011; GO:0000103; GO:0000139; GO:0000324; GO:0005634; GO:0005829; GO:0006662; GO:0006749; GO:0006888; GO:0006890; GO:0009263; GO:0015031; GO:0015035; GO:0015036; GO:0042144; GO:0045454; GO:0080058
P32479	852275	GO:0000070; GO:0000122; GO:0000417; GO:0000775; GO:0000790; GO:0003714; GO:0005634; GO:0006336; GO:0006368; GO:0030702; GO:0031935; GO:0042802
P43634	850787	GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0008270; GO:0009063; GO:0045893
P43597	850570	GO:0005623; GO:0009055; GO:0015035; GO:0045454
P38720	856589	GO:0004616; GO:0005737; GO:0009051; GO:0019521; GO:0034599; GO:0050661
Q05040	855044	GO:0000321; GO:0005783
P53944	855662	GO:0005739; GO:0006451; GO:0008276; GO:0008757
P08539	856394	GO:0000742; GO:0000743; GO:0000750; GO:0000754; GO:0001664; GO:0003924; GO:0005525; GO:0005768; GO:0005834; GO:0005886; GO:0007188; GO:0010008; GO:0031681; GO:0031683; GO:0046872; GO:0048017; GO:0071701
P40084	856882	GO:0005634; GO:0005737; GO:0006366; GO:0008420; GO:0046872; GO:0070940
A0A1W2PQ51	10521	GO:0003676; GO:0004386; GO:0005524
Q59F66	10521	GO:0003676; GO:0004386; GO:0005524
Q92841	10521	GO:0000380; GO:0000381; GO:0001837; GO:0003713; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006357; GO:0006364; GO:0006396; GO:0008186; GO:0010586; GO:0016020; GO:0016607; GO:0030520; GO:0030521; GO:0031047; GO:0045445; GO:0045944; GO:0051607; GO:2001014
Q59E96	10482	GO:0003723; GO:0005634; GO:0005737; GO:0006406
Q9UBU9	10482	GO:0003723; GO:0003729; GO:0005634; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0006405; GO:0006406; GO:0016032; GO:0016607; GO:0016973; GO:0042405
Q08281	853982	GO:0015031; GO:0035859; GO:0046872; GO:0097042; GO:1904263
A0A024RA42	28969	
Q9Y6E2	28969	GO:0005737; GO:0007399; GO:0016020; GO:0030154; GO:0045296
P32337	855356	GO:0005634; GO:0005737; GO:0006406; GO:0006606; GO:0006607; GO:0006610; GO:0007088; GO:0008139; GO:0008565; GO:0031965; GO:0034399; GO:0060188
P21372	852539	GO:0000348; GO:0003676; GO:0004386; GO:0005524; GO:0005634; GO:0008186
P38987	854938	GO:0003924; GO:0005525; GO:0005816; GO:0006886; GO:0010458; GO:0031578; GO:0032482; GO:0040001; GO:0044877; GO:0051301; GO:1902542
P0C5N3	5814844	GO:0005739
Q06251	850874	GO:0005737
Q99369	854454	GO:0005634; GO:0005737; GO:0052689
P06702	6280	GO:0001816; GO:0002224; GO:0002523; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0006914; GO:0006915; GO:0006919; GO:0006954; GO:0007267; GO:0008017; GO:0008270; GO:0010976; GO:0016209; GO:0019730; GO:0030054; GO:0030307; GO:0030593; GO:0032119; GO:0032602; GO:0034774; GO:0035606; GO:0035662; GO:0035821; GO:0042742; GO:0043312; GO:0045087; GO:0050544; GO:0050729; GO:0050786; GO:0050832; GO:0051092; GO:0051493; GO:0061844; GO:0062023; GO:0070062; GO:0070488; GO:2001244
P37267	853085	GO:0005739; GO:0005743; GO:0032592; GO:0034551
P40059	856822	GO:0000183; GO:0000781; GO:0005634; GO:0006348; GO:0006357; GO:0043565; GO:0061587
Q3E732	1466417	
Q02336	852059	GO:0000124; GO:0000183; GO:0000781; GO:0001786; GO:0003677; GO:0003682; GO:0003713; GO:0005634; GO:0005671; GO:0006325; GO:0006338; GO:0006348; GO:0006357; GO:0008270; GO:0016573; GO:0035066; GO:0046695; GO:0070461; GO:1990414
A0A140VJS3	5705	GO:0005102; GO:0005524; GO:0005838; GO:0016234; GO:0017025; GO:0030163; GO:0031595; GO:0031597; GO:0036402; GO:0045892; GO:0050804; GO:0090261; GO:0098794
P62195	5705	GO:0000502; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006357; GO:0008134; GO:0008540; GO:0016020; GO:0016234; GO:0016579; GO:0016887; GO:0017025; GO:0022624; GO:0031410; GO:0031531; GO:0031595; GO:0031597; GO:0036402; GO:0043069; GO:0043161; GO:0043687; GO:0045892; GO:0045893; GO:0045899; GO:0050804; GO:0070062; GO:0072562; GO:0090261; GO:0098794
Q04922	851805	GO:0007005; GO:0019005; GO:0031146; GO:0031315
P23503	855481	GO:0005634; GO:0005829; GO:0008901; GO:0016020; GO:0016226; GO:0046872; GO:0051536; GO:0051539; GO:0097361
P11927	855533	GO:0000742; GO:0005825; GO:0005874; GO:0030474; GO:0051301
P00358	853465	GO:0004365; GO:0005739; GO:0005811; GO:0005829; GO:0006094; GO:0006096; GO:0006915; GO:0009277; GO:0050661; GO:0051287; GO:0072593; GO:1990841
Q9H8Y8	26003	GO:0000139; GO:0005794; GO:0006996; GO:0007030; GO:0007283; GO:0016020; GO:0030154; GO:0070925
P39992	856690	
P53099	852689	GO:0005886; GO:0016021; GO:0031924; GO:0051180; GO:0090482
Q08559	854355	GO:0016021
P07347	856404	GO:0006474; GO:0016573; GO:0017198; GO:0018002; GO:0022626; GO:0031415; GO:0042802; GO:0061606; GO:1990189; GO:1990190
B4DT73	1111	GO:0004672; GO:0005524
E7EPP6	1111	GO:0000077; GO:0000086; GO:0000785; GO:0001833; GO:0005524; GO:0005654; GO:0005657; GO:0006281; GO:0006997; GO:0007093; GO:0010767; GO:0035402; GO:0042127; GO:0043231; GO:0048096; GO:1902742; GO:2000615
O14757	1111	GO:0000077; GO:0000785; GO:0000794; GO:0004672; GO:0004674; GO:0005524; GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005829; GO:0006260; GO:0006281; GO:0006468; GO:0006915; GO:0006974; GO:0006975; GO:0007049; GO:0010569; GO:0010767; GO:0016301; GO:0018107; GO:0019904; GO:0032991; GO:0035402; GO:0035556; GO:0043231; GO:0045787; GO:0045839; GO:0046602; GO:0048096; GO:0070317; GO:0071260; GO:0072425; GO:0090399; GO:1901796; GO:2000615
P47153	853580	GO:0016021
Q99321	854334	GO:0000298; GO:0005634; GO:0005737; GO:0006798; GO:0008486; GO:0015961; GO:0034431; GO:0034432; GO:0046855; GO:0046872; GO:0050072; GO:0052840; GO:0052843; GO:0052844; GO:0052845; GO:0052846; GO:0052847; GO:0052848; GO:0071543; GO:1901907; GO:1901909; GO:1901911; GO:1990174
P40532	854771	GO:0005635; GO:0005783; GO:0005789; GO:0006998; GO:0016021; GO:0031965; GO:0051028; GO:0055088
P32474	852130	GO:0003756; GO:0005783; GO:0005788; GO:0006457; GO:0015035; GO:0019153; GO:0034976; GO:0045454; GO:0051082
Q05789	850908	GO:0000407; GO:0005198; GO:0005774; GO:0016236; GO:0034045; GO:0034271; GO:0042802
P0CX99	850476	GO:0016021
P0CY00	850476	GO:0016021
P0CY01	850476	GO:0016021
Q9UNL4	51147	GO:0000123; GO:0003713; GO:0005634; GO:0005654; GO:0005829; GO:0006260; GO:0006473; GO:0006915; GO:0006978; GO:0007050; GO:0008285; GO:0035064; GO:0043065; GO:0043966; GO:0043981; GO:0043982; GO:0043983; GO:0045111; GO:0045892; GO:0045926; GO:0046872
P38850	856559	GO:0005634; GO:0006302; GO:0010526; GO:0035361; GO:1903775; GO:1990683; GO:2000001
Q12395	850819	GO:0000151; GO:0030674; GO:0031624; GO:0032182; GO:0045116; GO:0051443; GO:0097602
P0C2J0	856283	GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0008233; GO:0015074; GO:0032197; GO:0046872
Q05166	851470	GO:0003697; GO:0005543; GO:0005643; GO:0006607; GO:0006999; GO:0007049; GO:0017056; GO:0031965; GO:0031990; GO:0044613; GO:0044615; GO:0051301
P53187	852850	GO:0000794; GO:0003690; GO:0007129; GO:0007131
Q12334	851416	GO:0000086; GO:0000780; GO:0007059; GO:0042393; GO:0046982; GO:0051382; GO:0071459; GO:0097030; GO:2000059
P32939	855012	GO:0000011; GO:0000324; GO:0000329; GO:0003924; GO:0005525; GO:0005764; GO:0005770; GO:0005774; GO:0005829; GO:0006886; GO:0006897; GO:0016192; GO:0016236; GO:0032258; GO:0032482; GO:0032889; GO:0034727; GO:0042147; GO:0045335; GO:0072665; GO:0090385; GO:1990816
P38778	856447	GO:0005384; GO:0005770; GO:0005774; GO:0005802; GO:0006824; GO:0006828; GO:0006877; GO:0015086; GO:0015295; GO:0016021; GO:0022890; GO:0030026; GO:0046872
P38243	852363	GO:0005737; GO:0005935
Q13490	329	GO:0000209; GO:0001666; GO:0001741; GO:0001890; GO:0003713; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0007166; GO:0007249; GO:0008270; GO:0009898; GO:0010803; GO:0016579; GO:0016740; GO:0033209; GO:0034121; GO:0035631; GO:0038061; GO:0039535; GO:0042127; GO:0042802; GO:0042981; GO:0043027; GO:0043066; GO:0043123; GO:0043130; GO:0043161; GO:0045088; GO:0045121; GO:0045471; GO:0045595; GO:0047485; GO:0050727; GO:0051087; GO:0051291; GO:0051591; GO:0051726; GO:0060544; GO:0060546; GO:0061630; GO:0070266; GO:0070424; GO:0098770; GO:1901222; GO:1902443; GO:1902523; GO:1902524; GO:1902527; GO:1990001; GO:2000116; GO:2000377
P09959	850879	GO:0000790; GO:0001077; GO:0003677; GO:0003713; GO:0005634; GO:0005737; GO:0010845; GO:0030907; GO:0033309; GO:0045944; GO:0061408; GO:0071931
P25577	850308	GO:0016020
P38884	856605	GO:0005739; GO:0016872
P50102	855263	GO:0000124; GO:0004843; GO:0006511; GO:0008270; GO:0008380; GO:0016578; GO:0032947; GO:0034729; GO:0046695; GO:0051568; GO:0071819
P38994	851789	GO:0005524; GO:0005634; GO:0005886; GO:0016308; GO:0030866; GO:0031321; GO:0032266; GO:0046854; GO:0070273
P23060	850381	GO:0044419
Q08465	854230	GO:0006325; GO:0016573; GO:0032968; GO:0033100; GO:0035064; GO:0046872; GO:1990467
Q05543	851884	GO:0000790; GO:0000993; GO:0003677; GO:0010526; GO:0031124; GO:0035861; GO:0042769
P20051	851139	GO:0004151; GO:0006207; GO:0006221; GO:0044205; GO:0046872
P33895	854085	GO:0000778; GO:0000780; GO:0005200; GO:0005876; GO:0007020; GO:0007052; GO:0007059; GO:0031262; GO:0045132; GO:0051301; GO:0051315; GO:0051383
I6LPK7	581	GO:0043065
Q07812	581	GO:0001541; GO:0001764; GO:0001777; GO:0001782; GO:0001783; GO:0001822; GO:0001836; GO:0001844; GO:0001974; GO:0002262; GO:0002352; GO:0002358; GO:0002904; GO:0005634; GO:0005635; GO:0005737; GO:0005739; GO:0005741; GO:0005757; GO:0005783; GO:0005789; GO:0005829; GO:0006367; GO:0006687; GO:0006808; GO:0006915; GO:0006919; GO:0006977; GO:0007281; GO:0008053; GO:0008289; GO:0008625; GO:0008630; GO:0008635; GO:0008637; GO:0009566; GO:0009636; GO:0009651; GO:0010248; GO:0010332; GO:0015267; GO:0016020; GO:0016032; GO:0021854; GO:0021987; GO:0030544; GO:0032091; GO:0032461; GO:0032469; GO:0032471; GO:0032976; GO:0033137; GO:0033599; GO:0034620; GO:0034644; GO:0035234; GO:0042475; GO:0042802; GO:0042803; GO:0042981; GO:0043065; GO:0043496; GO:0043497; GO:0043524; GO:0043525; GO:0043653; GO:0045136; GO:0046666; GO:0046930; GO:0046982; GO:0048087; GO:0048147; GO:0048515; GO:0048597; GO:0048678; GO:0048873; GO:0051087; GO:0051259; GO:0051260; GO:0051281; GO:0051402; GO:0051434; GO:0051881; GO:0060011; GO:0060041; GO:0060058; GO:0060068; GO:0070059; GO:0070062; GO:0070242; GO:0070584; GO:0072332; GO:0090200; GO:0097136; GO:0097144; GO:0097190; GO:0097191; GO:0097192; GO:0097193; GO:0097296; GO:1900103; GO:1901030; GO:1902262; GO:1902263; GO:1902445; GO:1902512; GO:1903896; GO:1990117; GO:2001234; GO:2001244
Q5ZPJ0	581	
Q5ZPJ1	581	GO:0043065
Q04493	854879	GO:0005737; GO:0006457; GO:0007021; GO:0015631; GO:0016272; GO:0032968; GO:0051082
P08593	856253	GO:0000372; GO:0005739; GO:0090615
P40579	854853	GO:0005622; GO:0050664
Q9Y2J4	51421	GO:0003365; GO:0005829; GO:0005923; GO:0016055; GO:0016324; GO:0030036; GO:0030334; GO:0031410; GO:0035329; GO:0042802; GO:0055037
Q12204	854187	GO:0004620; GO:0005759; GO:0006644; GO:0016042; GO:0032048; GO:0046337; GO:0046872
P46961	856029	GO:0000506; GO:0006506; GO:0016021; GO:0017176
P38797	856475	GO:0004721; GO:0004722; GO:0005635; GO:0005739; GO:0006470; GO:0046872
Q00684	850585	GO:0000278; GO:0000422; GO:0004721; GO:0004722; GO:0004725; GO:0005634; GO:0005730; GO:0005737; GO:0005813; GO:0005816; GO:0005935; GO:0006470; GO:0007059; GO:0007096; GO:0008138; GO:0030869; GO:0032467; GO:0051229; GO:0051256; GO:0051301; GO:0071470; GO:0071850; GO:0072686; GO:2000786
P12753	855471	GO:0000706; GO:0000722; GO:0000723; GO:0000727; GO:0000784; GO:0000790; GO:0000794; GO:0003690; GO:0003691; GO:0004017; GO:0005524; GO:0005634; GO:0005654; GO:0006284; GO:0006303; GO:0007004; GO:0016233; GO:0016887; GO:0030870; GO:0032078; GO:0032508; GO:0035753; GO:0035861; GO:0042138; GO:0042162; GO:0043047; GO:0046872; GO:0051321; GO:0051880; GO:0070192; GO:0097552
P38902	854157	GO:0001055; GO:0001172; GO:0003677; GO:0005665; GO:0006366; GO:0006369; GO:0046983
