Entry	yourlist:M2018111714483A1C7ED25EE8374758DF3FD545FD01369DP	Gene ontology IDs
Q3E7Y6	2746858	GO:0005634; GO:0005737; GO:0005819; GO:0007059; GO:0030674; GO:0032133
P53980	855721	
Q01519	850727	GO:0004129; GO:0005751; GO:0005758; GO:0006119; GO:0033617
P38112	852439	GO:0000463; GO:0000466; GO:0003723; GO:0004004; GO:0005524; GO:0005730; GO:0042273
Q12365	855820	GO:0005198; GO:0005823; GO:0030474; GO:0071988
A8K7I0	1196	GO:0004674; GO:0004713; GO:0005524; GO:0005654; GO:0016604; GO:0032526; GO:0045721; GO:0046777
B1AVT0	1196	GO:0004674; GO:0005524; GO:0005654; GO:0016604
B7Z8N6	1196	GO:0004672; GO:0005524
P49760	1196	GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005654; GO:0006468; GO:0010212; GO:0016604; GO:0016607; GO:0032526; GO:0042802; GO:0043484; GO:0045721; GO:0046777
P14359	853290	GO:0000324; GO:0000328; GO:0000329; GO:0016021; GO:0030659; GO:0031625; GO:0031902; GO:0032509; GO:0044257
P22470	851721	GO:0004842; GO:0005634; GO:0005737; GO:0006511; GO:0046872; GO:0051788; GO:0061630; GO:0071630
P54867	854170	GO:0004888; GO:0005622; GO:0005886; GO:0005935; GO:0006970; GO:0007049; GO:0007266; GO:0009408; GO:0016021; GO:0030010; GO:0030036; GO:0030242; GO:0031505; GO:0045807
P14680	853300	GO:0004672; GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0010811; GO:0045893; GO:0045944; GO:0061406; GO:0061408
P37366	856136	GO:0000307; GO:0005634; GO:0005675; GO:0006366; GO:0016538; GO:0042594; GO:0045737; GO:0045944; GO:0070816; GO:0070985; GO:1901409; GO:1905866
P23369	852967	GO:0003735; GO:0005762; GO:0032543
A0A140VJV5	220082	GO:0031410
Q8NA61	220082	GO:0031410; GO:0042802
P48164	855628	GO:0002181; GO:0003735; GO:0005730; GO:0006364; GO:0022627; GO:0032040; GO:0042254; GO:0042274
